Name,Family,Order,Names2
Ceratophyllus_wui,Ceratophyllidae,Siphonaptera,Ceratophyllus wui
Jellisonia_amadoi,Ceratophyllidae,Siphonaptera,Jellisonia amadoi
Hystrichopsylla_weida,Hystrichopsyllidae,Siphonaptera,Hystrichopsylla weida
Tunga_penetrans,Hectopsyllidae,Siphonaptera,Tunga penetrans
Dorcadia_ioffi,Vermipsyllidae,Siphonaptera,Dorcadia ioffi
Ctenocephalides_canis,Pulicidae,Siphonaptera,Ctenocephalides canis
Ctenocephalides_felis,Pulicidae,Siphonaptera,Ctenocephalides felis
Xenopsylla_cheopis,Pulicidae,Siphonaptera,Xenopsylla cheopis
Pulex_irritans,Pulicidae,Siphonaptera,Pulex irritans
Casmara_patrona,Oecophoridae,Lepidoptera,Casmara patrona
